signal_number;date;side;signal;text;sources;;;;;;;;;;;;;;;;;;;;;
49;1 April 2022;W;W8;Pentagon cancels Minuteman III test.;"Phil Stewart and Idrees Ali, “Exclusive: U.S. cancels ICBM test due to Russia nuclear tensions,” Reuters, April 2,
2022 [https://www.reuters.com/business/aerospace-defense/exclusive-us-cancels-icbm-test-due-russia-
nuclear-tensions-2022-04-01/]; Oren Liebermann, “US tested hypersonic missile in mid-March but kept it quiet to avoid escalating tensions
with Russia,” CNN, April 5, 2022 [https://edition.cnn.com/2022/04/04/politics/us-hypersonic-missile-
test/index.html].";;;;;;;;;;;;;;;;;;;;;
50;7 April 2022;W;W2;G7 and Borrell: Any threat or use of nuclear weapons would be “unacceptable and result in severe consequences.”;"“G7 Foreign Ministers’ Statement on Russia’s War of Aggression Against Ukraine,” Website of the US Embassy &
Consulates in Italy, April 7, 2022 [https://it.usembassy.gov/g7-foreign-ministers-statement-on-russias-war-of-
aggression-against-ukraine/].";;;;;;;;;;;;;;;;;;;;;
51;13 April 2022;R;R6;Deputy FM Syromolotov repeated that Ukraine had the ability to acquire nuclear weapons and could acquire fissile material from abroad.;"“Олег Сыромолотов: среди беженцев с Украины могут быть террористы (Oleg Syromolotov: there may be
terrorists among refugees from Ukraine)”, RIA Novosti, April 13, 2022 [https://ria.ru/20220413/syromolotov-
1783159363.html?_x_tr_sl=ru&_x_tr_tl=de&_x_tr_hl=de&_x_tr_pto=wapp].";;;;;;;;;;;;;;;;;;;;;
52;13 April 2022;R;R6;Ryabkov repeated that US had developed biological weapons in Ukraine;"“Сергей Рябков: США пытаются спровоцировать в России дефолт (Sergei Ryabkov: US is trying to provoke
a default in Russia),” TASS, April 13, 2022 [https://tass.ru/interviews/14365393]";;;;;;;;;;;;;;;;;;;;;
53;14 April 2022;R;R6;Medvedev: If Sweden and Finland join NATO, “no non-nuclear status of the Baltics will be possible.”;"Polina Ivanova and Henry Foy, “Russia warns of nuclear expansion in Baltics if Finland and Sweden join Nato,”
Financial Times, April 14, 2022 [https://www.ft.com/content/4e296c6d-a268-4dbc-8f80-093d2b5c6a08].";;;;;;;;;;;;;;;;;;;;;
54;14 April 2022;W;W6;Burns: Putin’s threats must be taken seriously, but so far there are no alarming indications.;"CIA Director William Burns Speaks at Georgia Tech,” YouTube account of Georgia Tech, April 14, 2022
[https://www.youtube.com/watch?v=yVWzer7TTP0 (from 55:42)], and David E. Sanger and Julian E. Barnes,
“C.I.A. Director Airs Concern That Putin Might Turn to Nuclear Weapons,” The New York Times, April 14, 2022
[https://www.nytimes.com/2022/04/14/us/politics/putin-nuclear-weapons.html]";;;;;;;;;;;;;;;;;;;;;
55;18 April 2022, 19 April 2022;W;W6;US official: There is no “existential threat” to Russia, and Moscow would anyhow use nuclear “warning shots,” to which NATO would respond conventionally.;"William A. Arkin, “Putin's Iskander Missiles Are Battle-Tested—and Can Carry Nuclear Warheads,” Newsweek,
April 18, 2022 [https://www.newsweek.com/putins-iskander-missiles-are-battle-tested-can-carry-nuclear-
warheads-1698559]; David Rothkopf, “Even if Russia Uses a Nuke, We Probably Won’t—but Putin Would Still Pay Dearly,” The Daily
Beast, April 19, 2022 [https://www.thedailybeast.com/even-if-russia-uses-a-nuke-we-probably-wontbut-putin-
would-still-pay-dearly].";;;;;;;;;;;;;;;;;;;;;
56;19 April 2022;W;W7;Kirby: Washington is monitoring Russian rhetoric, but confident its strategic deterrent posture remains sufficient.;"“Pentagon Press Secretary John F. Kirby Holds a Press Briefing,” Website of the US Department of Defense, April
19, 2022 [https://www.defense.gov/News/Trans/Tran/Article/3004347/pentagon-press-secretary-john-f-
kirby-holds-a-press-briefing/].";;;;;;;;;;;;;;;;;;;;;
57;19 April 2022;R;R8;Lavrov: Russia initiated Putin-Biden and P5 statements that nuclear war cannot be won and must not be fought.;"""Russian Foreign Minister Sergey Lavrov denies war crimes in Ukraine, says Russia not targeting civilians,”
India Today, April 19, 2022 [https://www.indiatoday.in/world/russia-ukraine-war/video/russian-foreign-
minister-sergey-lavrov-denies-war-crimes-in-ukraine-says-russia-not-targeting-civilians-1939323-2022-04-19].";;;;;;;;;;;;;;;;;;;;;
58;20 April 2022;R;R3;Russia tests nuclear-capable Sarmat intercontinental missile. Putin: Sarmat will “safeguard Russia’s security from external threats.”;"“Putin congratulates Armed Forces on successful launch of Sarmat ICBM,” TASS, April 20, 2022
[https://tass.com/defense/1440607]; Anton Troianovski, “Russia says it has successfully tested a new intercontinental missile that can evade
defenses,” The New York Times, April 20, 2022 [https://www.nytimes.com/2022/04/20/world/europe/russia-
icbm-putin.html].";;;;;;;;;;;;;;;;;;;;;
59;20 April 2022;W;W6;Kirby: Sarmat test was “routine” and Russia “properly notified” the United States.;"“Pentagon says Russia notified U.S. ahead of ‘routine’ ICBM test-launch,” Reuters, April 20, 2022
[https://www.reuters.com/world/pentagon-says-russia-notified-us-ahead-routine-icbm-test-launch-2022-04-
20/]; “Pentagon Press Secretary John F. Kirby Statement Regarding Russian ICBM,” Website of the US Department of
Defense, April 20, 2022 [https://www.defense.gov/News/Releases/Release/Article/3005764/pentagon-press-
secretary-john-f-kirby-statement-regarding-russian-icbm/]; Barbara Starr and Zachary Cohen, “US defense secretary being regularly briefed on any potential Russian
nuclear moves,” CNN, April 20, 2022 [https://edition.cnn.com/2022/04/20/politics/austin-russia-nuclear-
briefings/index.html]";;;;;;;;;;;;;;;;;;;;;
